"","No","Q_Y","Q","M_Y","Period","diff_gap","diff_oil","diff_exchange","diff_VNI","diff_CPI","diff._goldreserve","diff_interest","log_M2","diff_demandVN"
"1164",1164,"Q2-2014","Q2","6-2014",41817,-16698.166698169,-0.0300000000000011,0,2.42000000000007,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1165",1165,"Q2-2014","Q2","6-2014",41820,-45087.885087885,-0.390000000000001,0,-0.690000000000055,0.00480000000000003,21.2,0,0.02144054625905,5.96
"1166",1166,"Q3-2014","Q3","7-2014",41821,45927.045927044,-0.00999999999999091,0,-0.0599999999999454,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1167",1167,"Q3-2014","Q3","7-2014",41822,-69182.0071820058,-0.879999999999995,-10,0.729999999999905,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1168",1168,"Q3-2014","Q3","7-2014",41823,135745.605745602,-0.420000000000002,-20,6.22000000000003,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1169",1169,"Q3-2014","Q3","7-2014",41824,-64287.3558873534,1.24857142857141,-10,4.33000000000004,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1170",1170,"Q3-2014","Q3","7-2014",41827,51881.7614817619,-1.81857142857142,-15,1.34000000000003,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1171",1171,"Q3-2014","Q3","7-2014",41828,77979.5879795887,-0.129999999999995,-10,0.779999999999973,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1172",1172,"Q3-2014","Q3","7-2014",41829,-115226.611226611,-1.13,10,0.129999999999995,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1173",1173,"Q3-2014","Q3","7-2014",41830,-48468.3424683437,0.679999999999993,-70,-6.72000000000003,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1174",1174,"Q3-2014","Q3","7-2014",41831,2268.00226800144,-2.13,-5,-2.11000000000001,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1175",1175,"Q3-2014","Q3","7-2014",41834,411214.893214893,0.25,-10,3.46000000000004,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1176",1176,"Q3-2014","Q3","7-2014",41835,130567.000567,-1.17,10,3.07999999999993,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1177",1177,"Q3-2014","Q3","7-2014",41836,-123212.247212242,1.31999999999999,0,0.370000000000005,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1178",1178,"Q3-2014","Q3","7-2014",41837,-243677.565677568,1.96000000000001,0,0.690000000000055,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1179",1179,"Q3-2014","Q3","7-2014",41838,145187.677187677,-0.0100000000000051,15,5.88999999999999,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1180",1180,"Q3-2014","Q3","7-2014",41841,-77037.2330372334,1.51000000000001,5,4.77999999999997,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1181",1181,"Q3-2014","Q3","7-2014",41842,51749.3857493885,-0.75,0,-3.05999999999995,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1182",1182,"Q3-2014","Q3","7-2014",41843,35769.4197694175,-0.780000000000001,10,-0.480000000000018,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1183",1183,"Q3-2014","Q3","7-2014",41844,153021.357021358,-1.05,10,4.55999999999995,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1184",1184,"Q3-2014","Q3","7-2014",41845,-230583.254583254,2.47,-10,-1.91999999999996,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1185",1185,"Q3-2014","Q3","7-2014",41848,16794.556794554,0.450000000000003,0,-10.6899999999999,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1186",1186,"Q3-2014","Q3","7-2014",41849,90505.7645057663,-0.77000000000001,20,2.78999999999996,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1187",1187,"Q3-2014","Q3","7-2014",41850,4543.94254393876,-0.61999999999999,0,-2.90999999999997,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1188",1188,"Q3-2014","Q3","7-2014",41851,-2450.95445095003,-6.06,-20,6.74000000000001,0.00360000000000005,-6.00999999999999,0,-0.0013549096499112,-8.93
"1189",1189,"Q3-2014","Q3","8-2014",41852,-37134.7571347542,-0.370000000000005,0,-2.17000000000007,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1190",1190,"Q3-2014","Q3","8-2014",41855,124560.574560571,0.400000000000006,0,5.13999999999999,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1191",1191,"Q3-2014","Q3","8-2014",41856,39593.6495936476,-0.920000000000002,10,8.69000000000005,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1192",1192,"Q3-2014","Q3","8-2014",41857,-354232.092232089,-0.409999999999997,-20,-1.02999999999997,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1193",1193,"Q3-2014","Q3","8-2014",41858,24229.0682290681,0.409999999999997,-10,0.919999999999959,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1194",1194,"Q3-2014","Q3","8-2014",41859,80527.6885276847,0.269999999999996,10,-2.19000000000005,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
